PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_NAME,TEAM_ID,TEAM_ABBREVIATION,PASS_TYPE,G,PASS_TO,PASS_TEAMMATE_PLAYER_ID,FREQUENCY,PASS,AST,FGM,FGA,FG_PCT,FG2M,FG2A,FG2_PCT,FG3M,FG3A,FG3_PCT
1630577,"Champagnie, Julian",San Antonio Spurs,1610612759,SAS,made,19,"Wembanyama, Victor",1641705,0.136,4.21,0.42,0.53,1.32,0.4,0.42,0.84,0.5,0.11,0.47,0.222
1630577,"Champagnie, Julian",San Antonio Spurs,1610612759,SAS,made,19,"Sochan, Jeremy",1631110,0.048,1.47,0.11,0.21,0.42,0.5,0.21,0.42,0.5,0.0,0.0,
1630577,"Champagnie, Julian",San Antonio Spurs,1610612759,SAS,made,19,"Wesley, Blake",1631104,0.051,1.58,0.11,0.11,0.32,0.333,0.05,0.16,0.333,0.05,0.16,0.333
1630577,"Champagnie, Julian",San Antonio Spurs,1610612759,SAS,made,19,"Branham, Malaki",1631103,0.065,2.0,0.05,0.16,0.42,0.375,0.16,0.32,0.5,0.0,0.11,0.0
1630577,"Champagnie, Julian",San Antonio Spurs,1610612759,SAS,made,19,"Mamukelashvili, Sandro",1630572,0.015,0.47,0.11,0.11,0.21,0.5,0.05,0.11,0.5,0.05,0.11,0.5
1630577,"Champagnie, Julian",San Antonio Spurs,1610612759,SAS,made,19,"Jones, Tre",1630200,0.046,1.42,0.11,0.11,0.26,0.4,0.11,0.21,0.5,0.0,0.05,0.0
1630577,"Champagnie, Julian",San Antonio Spurs,1610612759,SAS,made,19,"Vassell, Devin",1630170,0.019,0.58,0.05,0.11,0.32,0.333,0.0,0.11,0.0,0.11,0.21,0.5
1630577,"Champagnie, Julian",San Antonio Spurs,1610612759,SAS,made,19,"Bassey, Charles",1629646,0.008,0.26,0.05,0.05,0.16,0.333,0.05,0.16,0.333,0.0,0.0,
1630577,"Champagnie, Julian",San Antonio Spurs,1610612759,SAS,made,19,"Johnson, Keldon",1629640,0.078,2.42,0.16,0.42,0.79,0.533,0.32,0.58,0.545,0.11,0.21,0.5
1630577,"Champagnie, Julian",San Antonio Spurs,1610612759,SAS,made,19,"Collins, Zach",1628380,0.036,1.11,0.21,0.21,0.26,0.8,0.16,0.21,0.75,0.05,0.05,1.0
1630577,"Champagnie, Julian",San Antonio Spurs,1610612759,SAS,made,19,"Barnes, Harrison",203084,0.073,2.26,0.21,0.37,0.79,0.467,0.37,0.68,0.538,0.0,0.11,0.0
1630577,"Champagnie, Julian",San Antonio Spurs,1610612759,SAS,made,19,"Paul, Chris",101108,0.319,9.89,0.0,0.37,0.95,0.389,0.21,0.37,0.571,0.16,0.58,0.273
1631321,"Cissoko, Sidy",San Antonio Spurs,1610612759,SAS,made,6,"Minix, Riley",1642434,0.043,0.17,0.0,0.0,0.17,0.0,0.0,0.0,,0.0,0.17,0.0
1631321,"Cissoko, Sidy",San Antonio Spurs,1610612759,SAS,made,6,"Castle, Stephon",1642264,0.087,0.33,0.17,0.17,0.17,1.0,0.0,0.0,,0.17,0.17,1.0
1631321,"Cissoko, Sidy",San Antonio Spurs,1610612759,SAS,made,6,"Ingram, Harrison",1631127,0.087,0.33,0.0,0.0,0.17,0.0,0.0,0.17,0.0,0.0,0.0,
1631321,"Cissoko, Sidy",San Antonio Spurs,1610612759,SAS,made,6,"Wesley, Blake",1631104,0.217,0.83,0.0,0.0,0.17,0.0,0.0,0.0,,0.0,0.17,0.0
1631321,"Cissoko, Sidy",San Antonio Spurs,1610612759,SAS,made,6,"Branham, Malaki",1631103,0.043,0.17,0.0,0.0,0.17,0.0,0.0,0.0,,0.0,0.17,0.0
1631321,"Cissoko, Sidy",San Antonio Spurs,1610612759,SAS,made,6,"Mamukelashvili, Sandro",1630572,0.174,0.67,0.33,0.33,0.5,0.667,0.0,0.0,,0.33,0.5,0.667
1631321,"Cissoko, Sidy",San Antonio Spurs,1610612759,SAS,made,6,"Duke Jr., David",1630561,0.087,0.33,0.0,0.0,0.17,0.0,0.0,0.17,0.0,0.0,0.0,
1631321,"Cissoko, Sidy",San Antonio Spurs,1610612759,SAS,made,6,"Bassey, Charles",1629646,0.261,1.0,0.33,0.33,0.33,1.0,0.33,0.33,1.0,0.0,0.0,
1628380,"Collins, Zach",San Antonio Spurs,1610612759,SAS,made,19,"Castle, Stephon",1642264,0.194,3.58,0.11,0.26,1.0,0.263,0.26,0.79,0.333,0.0,0.21,0.0
1628380,"Collins, Zach",San Antonio Spurs,1610612759,SAS,made,19,"Sochan, Jeremy",1631110,0.066,1.21,0.21,0.21,0.32,0.667,0.16,0.26,0.6,0.05,0.05,1.0
